ASSINATURAS;DATA DA COMPRA/SOLICITAÇÃO;ANO;VALOR TOTAL;CATEGORIA;SUBCATEGORIA;CHATBOT;DATING APPS;SOCIAL MEDIA;SOCIALIZATION PLACES;NGOS;DIRECT REFERRALS;COMENTÁRIOS;RECURSO;DESPESA
Créditos Celular - Lina;10/15/2020;2020;20;Subscriptions and boosts;Phone plan;3.33333333333333;3.33333333333333;3.33333333333333;3.33333333333333;3.33333333333333;3.33333333333333;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Contas (pacote de dados de celulares, assinatura grindr, adobe, impulsionamento no instagran, seguro)
Créditos Celular - Lina;10/15/2020;2020;20;Subscriptions and boosts;Phone plan;3.33333333333333;3.33333333333333;3.33333333333333;3.33333333333333;3.33333333333333;3.33333333333333;;Intervenção na Cidade Tiradentes outubro 2020-junho 2021;Contas (pacote de dados de celulares, assinatura grindr, adobe, impulsionamento no instagran, seguro)
Telefonica Brasil S.A;01/15/2021;2021;259.01;Subscriptions and boosts;Phone plan;43.1683333333333;43.1683333333333;43.1683333333333;43.1683333333333;43.1683333333333;43.1683333333333;;;
Telefonica Brasil S.A;01/22/2021;2021;160.18;Subscriptions and boosts;Phone plan;26.6966666666667;26.6966666666667;26.6966666666667;26.6966666666667;26.6966666666667;26.6966666666667;;;
Telefonica Brasil S.A;02/18/2021;2021;279.5;Subscriptions and boosts;Phone plan;46.5833333333333;46.5833333333333;46.5833333333333;46.5833333333333;46.5833333333333;46.5833333333333;;;
Telefonica Brasil S.A;02/19/2021;2021;159.6;Subscriptions and boosts;Phone plan;26.6;26.6;26.6;26.6;26.6;26.6;;;
Telefonica Brasil S.A;03/17/2021;2021;279.5;Subscriptions and boosts;Phone plan;46.5833333333333;46.5833333333333;46.5833333333333;46.5833333333333;46.5833333333333;46.5833333333333;;;
Telefonica Brasil S.A;03/29/2021;2021;160.18;Subscriptions and boosts;Phone plan;26.6966666666667;26.6966666666667;26.6966666666667;26.6966666666667;26.6966666666667;26.6966666666667;;;
Telefonica Brasil S.A;04/14/2021;2021;279.61;Subscriptions and boosts;Phone plan;46.6016666666667;46.6016666666667;46.6016666666667;46.6016666666667;46.6016666666667;46.6016666666667;;;
Telefonica Brasil S.A;04/20/2021;2021;159.6;Subscriptions and boosts;Phone plan;26.6;26.6;26.6;26.6;26.6;26.6;;;
Telefonica Brasil S.A;05/19/2021;2021;159.6;Subscriptions and boosts;Phone plan;26.6;26.6;26.6;26.6;26.6;26.6;;;
Telefonica Brasil S.A;06/21/2021;2021;159.6;Subscriptions and boosts;Phone plan;26.6;26.6;26.6;26.6;26.6;26.6;;;
